1, MIL
2, 161
3, 610
4, 93
5, 153
6, 33
7, 0
8, 32
9, 112
10, 74
11, 173
12, 21
13, 4
14, .251
15, .331
16, .462
17, .793
18, MIL
19, 131
20, 449
21, 59
22, 96
23, 14
24, 0
25, 26
26, 82
27, 53
28, 149
29, 3
30, 0
31, .214
32, .303
33, .419
34, .722
35, MIL
36, 155
37, 595
38, 99
39, 167
40, 37
41, 2
42, 23
43, 92
44, 78
45, 139
46, 9
47, 2
48, .281
49, .365
50, .466
51, .831
52, MIL
53, 148
54, 528
55, 80
56, 145
57, 29
58, 4
59, 21
60, 79
61, 39
62, 121
63, 22
64, 7
65, .275
66, .327
67, .464
68, .791
69, MIL
70, 117
71, 302
72, 45
73, 60
74, 9
75, 2
76, 12
77, 43
78, 39
79, 118
80, 13
81, 1
82, .199
83, .301
84, .361
85, .662
86, MIL
87, 142
88, 440
89, 58
90, 105
91, 25
92, 6
93, 11
94, 60
95, 56
96, 103
97, 11
98, 6
99, .239
100, .329
101, .398
102, .727
103, MIL
104, 89
105, 245
106, 30
107, 54
108, 7
109, 1
110, 11
111, 37
112, 27
113, 76
114, 0
115, 0
116, .220
117, .307
118, .392
119, .699
120, MIL
121, 73
122, 270
123, 44
124, 85
125, 12
126, 3
127, 11
128, 42
129, 40
130, 58
131, 21
132, 1
133, .315
134, .406
135, .504
136, .910
137, MIL
138, 69
139, 196
140, 33
141, 50
142, 12
143, 3
144, 8
145, 21
146, 25
147, 71
148, 11
149, 4
150, .255
151, .342
152, .469
153, .811
154, MIL
155, 155
156, 559
157, 72
158, 142
159, 24
160, 4
161, 7
162, 57
163, 50
164, 105
165, 50
166, 6
167, .254
168, .316
169, .349
170, .665
171, MIL
172, 121
173, 383
174, 54
175, 92
176, 13
177, 2
178, 6
179, 43
180, 42
181, 108
182, 23
183, 5
184, .240
185, .316
186, .332
187, .648
188, MIL
189, 30
190, 66
191, 10
192, 18
193, 1
194, 0
195, 5
196, 14
197, 3
198, 28
199, 0
200, 0
201, .273
202, .304
203, .515
204, .819
205, MIL
206, 145
207, 475
208, 66
209, 123
210, 22
211, 4
212, 2
213, 32
214, 39
215, 78
216, 18
217, 3
218, .259
219, .320
220, .335
221, .655
222, MIL
223, 41
224, 95
225, 11
226, 21
227, 2
228, 2
229, 1
230, 7
231, 6
232, 40
233, 3
234, 0
235, .221
236, .282
237, .316
238, .598
239, MIL
240, 59
241, 125
242, 14
243, 26
244, 5
245, 0
246, 1
247, 16
248, 16
249, 40
250, 6
251, 2
252, .208
253, .303
254, .272
255, .575
256, MIL
257, 18
258, 49
259, 4
260, 10
261, 2
262, 0
263, 0
264, 2
265, 7
266, 17
267, 3
268, 0
269, .204
270, .316
271, .245
272, .561
273, MIL
274, 3
275, 9
276, 1
277, 1
278, 1
279, 0
280, 0
281, 0
282, 0
283, 3
284, 0
285, 0
286, .111
287, .111
288, .222
289, .333
290, MIL
291, 11
292, 17
293, 0
294, 2
295, 0
296, 0
297, 0
298, 0
299, 2
300, 10
301, 1
302, 0
303, .118
304, .211
305, .118
306, .329
307, MIL
308, 7
309, 0
310, 0
311, 0
312, 0
313, 0
314, 0
315, 0
316, 0
317, 0
318, 0
319, 0
320, .000
321, .000
322, .000
323, .000
324, MIL
325, 3
326, 5
327, 0
328, 0
329, 0
330, 0
331, 0
332, 0
333, 0
334, 4
335, 1
336, 0
337, .000
338, .000
339, .000
340, .000
341, MIL
342, 48
343, 0
344, 0
345, 0
346, 0
347, 0
348, 0
349, 0
350, 0
351, 0
352, 0
353, 0
354, .000
355, .000
356, .000
357, .000
358, MIL
359, 14
360, 27
361, 2
362, 5
363, 1
364, 0
365, 0
366, 3
367, 0
368, 8
369, 0
370, 0
371, .185
372, .185
373, .222
374, .407
375, MIL
376, 61
377, 0
378, 0
379, 0
380, 0
381, 0
382, 0
383, 0
384, 0
385, 0
386, 0
387, 0
388, .000
389, .000
390, .000
391, .000
392, MIL
393, 68
394, 0
395, 0
396, 0
397, 0
398, 0
399, 0
400, 0
401, 0
402, 0
403, 0
404, 0
405, .000
406, .000
407, .000
408, .000
409, MIL
410, 52
411, 0
412, 0
413, 0
414, 0
415, 0
416, 0
417, 0
418, 0
419, 0
420, 0
421, 0
422, .000
423, .000
424, .000
425, .000
